Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
153,97635.6,609.109,-0.384203,0.0556185,-0.815739,0,0,725.793,105075,913.515,105046,694.863,96871.5,672.339
156,97030.3,607.959,-0.375229,0.0612521,-0.81589,0,0,948.309,108320,913.763,108540,702.976,98201.1,678.641
159,96534.9,606.919,-0.367328,0.0663262,-0.816127,0,0,1332.61,111296,911.158,112503,712.094,99367.8,684.278
162,96146.1,606.008,-0.360566,0.0707776,-0.816511,0,0,1853.96,113487,904.819,116241,721.04,100268.0,687.782
165,95860.3,605.235,-0.354986,0.0745584,-0.817086,0,0,2558.48,114949,894.629,120051,730.41,101143.0,690.743
168,95675.2,604.61,-0.350622,0.0776342,-0.817889,0,0,3364.26,116621,881.768,123909,739.79,101831.0,694.114
171,95587.8,604.141,-0.347495,0.0799784,-0.81894,0,0,4269.4,118733,863.27,127848,749.492,102116.0,697.869
174,95596.1,603.833,-0.345635,0.0815598,-0.820262,0,0,5284.91,120758,844.244,131591,758.726,101904.0,701.001
177,95698.9,603.692,-0.345074,0.0823479,-0.821876,0,0,6354.41,122380,827.378,134793,766.638,101249.0,703.065
180,95895.3,603.723,-0.345831,0.0823238,-0.823792,0,0,7457.75,123899,813.557,137418,772.199,100245.0,703.698
183,96183.4,603.926,-0.347907,0.0814806,-0.825996,0,0,8525.89,125431,801.726,139507,776.032,98995.6,703.479
186,96561.8,604.3,-0.351304,0.0798105,-0.828471,0,0,9539.75,126778,790.595,141501,778.797,97646.4,702.988
189,97031.4,604.846,-0.35605,0.0772943,-0.83122,0,0,10549.6,127726,778.619,143744,781.54,96258.2,702.736
192,97594.6,605.568,-0.362178,0.0739097,-0.834248,0,0,11623.4,128846,765.304,146492,784.294,95011.0,702.834
195,98254.8,606.462,-0.36971,0.0696491,-0.837553,0,0,12645.1,130976,751.867,149718,786.617,94421.7,703.727
198,99012.8,607.529,-0.378663,0.0644979,-0.841109,0,0,13560.3,133200,739.938,153144,787.775,94492.3,705.23
201,99870.9,608.768,-0.38908,0.0584279,-0.844903,0,0,14378.5,134795,730.533,156301,786.841,94756.5,706.758
204,100836.0,610.18,-0.401011,0.0514142,-0.84894,0,0,15028.1,136089,724.746,158796,783.154,95100.9,707.595
207,101910.0,611.768,-0.414527,0.0434071,-0.853213,0,0,15366.0,137154,722.481,160694,775.102,95892.7,706.707
210,103100.0,613.538,-0.429727,0.0343369,-0.857726,0,0,15383.2,138077,722.52,162171,767.635,97301.4,706.552
213,104415.0,615.496,-0.446722,0.0241399,-0.862505,0,0,15179.6,138985,723.718,163449,761.823,99168.0,707.074
216,105864.0,617.64,-0.465608,0.0127632,-0.867553,0,0,14750.4,140031,725.648,164026,757.563,101352.0,708.115
219,107455.0,619.974,-0.486481,0.000143034,-0.872844,0,0,14171.5,140445,727.543,163926,754.063,103759.0,710.168
222,109196.0,622.5,-0.509463,-0.0138012,-0.878367,0,0,13486.5,140639,730.161,163225,751.298,105964.0,711.935
225,111099.0,625.222,-0.534712,-0.0291642,-0.884129,0,0,12746.8,140887,733.784,162257,749.457,107885.0,713.505
228,113176.0,628.144,-0.562386,-0.0460527,-0.890113,0,0,11896.2,140707,737.55,160701,747.136,109574.0,714.453
231,115435.0,631.269,-0.592634,-0.0645665,-0.896278,0,0,10972.2,139814,740.996,157929,743.916,110593.0,714.323
234,117888.0,634.596,-0.625618,-0.0848138,-0.902576,0,0,10085.2,138924,744.238,154045,739.452,110608.0,712.51
237,120547.0,638.131,-0.661546,-0.106936,-0.908975,0,0,9163.7,138421,747.534,149891,734.733,110207.0,709.572
240,123428.0,641.879,-0.700656,-0.131095,-0.915442,0,0,8142.48,138080,750.535,145379,729.659,109560.0,705.75
243,126544.0,645.842,-0.743168,-0.157442,-0.921915,0,0,7111.32,137710,753.105,139776,723.254,108198.0,700.701
246,129909.0,650.018,-0.789306,-0.18613,-0.928311,0,0,6127.24,137737,755.81,133009,715.208,106044.0,693.592
249,133541.0,654.414,-0.839369,-0.217367,-0.934576,0,0,5195.25,138589,759.099,126320,707.318,103633.0,686.366
252,137460.0,659.036,-0.893709,-0.251396,-0.940661,0,0,4221.59,140242,762.884,120112,699.91,101366.0,679.597
255,141687.0,663.889,-0.952671,-0.288458,-0.946486,0,0,3246.26,142738,767.235,113949,692.205,99175.3,673.167
258,146242.0,668.975,-1.01661,-0.328804,-0.951953,0,0,2371.82,146343,772.471,108434,684.761,97323.1,667.302
261,151150.0,674.302,-1.08597,-0.372749,-0.956984,0,0,1660.52,150725,674.057,104758,679.961,96175.2,663.191
264,156439.0,679.896,-1.1614,-0.420773,-0.961568,0,0,1095.5,153422,678.199,102318,677.031,95405.3,660.503
267,162148.0,685.772,-1.24357,-0.47333,-0.965662,0,0,742.106,154286,681.432,100902,675.708,94861.6,659.269
270,168313.0,691.943,-1.33314,-0.530904,-0.969201,0,0,593.81,153472,683.849,100973,677.055,94803.7,660.285
273,174978.0,698.423,-1.43091,-0.594045,-0.972122,0,0,627.514,151640,685.816,102965,681.988,95541.2,664.283
