Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
327,423665.0,865.105,-5.50233,-4.73486,-0.71656,-2.26197,-0.0329444,9684.16,180396,827.47,170776,782.573,96443.0,701.964
330,446385.0,874.902,-5.88033,-5.04687,-0.678119,-2.39759,-0.0345162,9856.5,180492,838.944,173321,785.823,97409.3,703.514
333,469205.0,884.257,-6.26043,-5.36039,-0.637825,-2.53445,-0.0360883,9980.68,180276,850.147,176113,788.94,98765.3,705.493
336,491711.0,893.022,-6.63518,-5.6693,-0.596505,-2.66997,-0.0376333,9980.69,178172,861.792,178121,791.004,100366.0,707.549
339,513421.0,901.03,-6.9957,-5.96638,-0.555197,-2.7944,-0.0390253,9808.63,174433,873.488,178539,791.095,102105.0,709.269
342,533668.0,907.937,-7.32779,-6.24011,-0.514887,-2.91691,-0.0404097,9570.38,170563,884.116,178128,790.102,103720.0,710.453
345,551931.0,913.784,-7.62472,-6.48489,-0.477204,-3.02747,-0.0416587,9230.82,167000,892.975,176893,788.047,105070.0,710.985
348,567572.0,918.409,-7.87512,-6.69146,-0.443529,-3.12196,-0.0427312,8796.18,161442,901.1,174763,784.839,106261.0,710.986
351,580024.0,921.687,-8.06908,-6.85171,-0.415243,-3.19675,-0.043591,8267.63,152776,908.959,171452,780.194,107100.0,710.209
354,588738.0,923.49,-8.19704,-6.95786,-0.393503,-3.24828,-0.0442027,7737.82,145856,914.306,167227,774.222,107251.0,708.372
357,594281.0,925.234,-8.28899,-7.03347,-0.380583,-3.28393,-0.044576,7192.64,139790,919.064,162782,767.942,107074.0,706.111
360,596954.0,927.651,-8.36082,-7.09106,-0.377669,-3.30138,-0.0446968,6577.22,132400,924.256,158099,761.471,106749.0,703.704
