Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
318,360302.0,799.227,-3.98675,-3.50951,-0.761663,0,0,12671.4,169160.0,755.672,133147.0,725.467,94626.3,683.53
321,381197.0,809.268,-4.31008,-3.77834,-0.73483,0,0,13620.7,170492.0,765.63,135820.0,719.579,94917.8,681.612
324,403001.0,819.233,-4.64914,-4.05993,-0.704956,0,0,14476.1,170181.0,776.558,138164.0,715.923,95282.6,680.423
327,425551.0,829.044,-5.00142,-4.35217,-0.672313,0,0,15053.4,168987.0,787.853,140002.0,714.372,95909.2,680.518
330,448583.0,838.581,-5.36253,-4.65143,-0.637255,0,0,15188.8,168019.0,798.705,141486.0,714.256,97159.7,681.765
333,471748.0,847.707,-5.72655,-4.95284,-0.600314,0,0,14937.8,166794.0,809.381,142762.0,715.32,99026.8,684.015
336,494630.0,856.278,-6.08639,-5.25058,-0.562259,0,0,14320.9,163501.0,820.57,143411.0,716.179,101346.0,686.478
339,516750.0,864.148,-6.43387,-5.53794,-0.524085,0,0,13423.0,158361.0,831.928,143482.0,716.565,104042.0,688.76
342,537543.0,871.157,-6.75932,-5.80699,-0.486939,0,0,12272.9,152651.0,842.43,143174.0,716.908,106958.0,690.429
345,556359.0,877.131,-7.05161,-6.04865,-0.452069,0,0,11106.9,147515.0,851.32,142873.0,717.765,109771.0,690.831
348,572543.0,881.911,-7.2996,-6.2538,-0.420808,0,0,9894.13,140622.0,859.774,142175.0,718.614,112323.0,690.542
351,585515.0,885.368,-7.49347,-6.41441,-0.394495,0,0,8657.59,130717.0,868.438,140682.0,718.874,114376.0,690.429
354,594708.0,887.378,-7.62374,-6.52273,-0.374264,0,0,7615.46,122320.0,874.617,138200.0,718.166,115086.0,689.352
357,600605.0,889.185,-7.71698,-6.59963,-0.362246,0,0,6692.96,114469.0,880.166,135159.0,716.981,114724.0,687.531
360,603458.0,891.435,-7.78725,-6.65616,-0.359571,0,0,5725.99,105727.0,886.201,131755.0,715.388,113976.0,685.544
