Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
291,219515.0,772.767,-1.34491,-2.17569,-1.00565,-0.343903,-0.00604456,4731.15,144967.0,735.192,116472.0,781.683,98464.2,731.853
294,230684.0,781.725,-1.49234,-2.32976,-0.998886,-0.363839,-0.0063156,5840.16,148073.0,742.32,118929.0,786.925,98031.4,734.169
297,242779.0,791.046,-1.6542,-2.49767,-0.990297,-0.385568,-0.00660747,6912.14,151397.0,749.947,120817.0,790.166,97322.0,735.502
300,255854.0,800.701,-1.83137,-2.68021,-0.979581,-0.408109,-0.00690244,7895.97,154930.0,758.139,122288.0,792.119,96428.8,736.405
303,269869.0,810.39,-2.02114,-2.87519,-0.965669,-0.433616,-0.00723688,8830.56,158683.0,766.696,123529.0,792.703,95463.2,736.847
306,284959.0,820.376,-2.22799,-3.08628,-0.949214,-0.461269,-0.00759488,9804.61,162150.0,775.658,124793.0,791.728,94536.2,737.152
309,301163.0,830.629,-2.45273,-3.31412,-0.929995,-0.491168,-0.00797707,10748.1,164400.0,785.387,126361.0,789.048,94018.2,737.155
312,318508.0,841.113,-2.69599,-3.55919,-0.907827,-0.523396,-0.00838375,11628.1,165947.0,795.516,128455.0,784.392,94109.8,736.649
315,336993.0,851.775,-2.95799,-3.82154,-0.882545,-0.55798,-0.00881462,12579.6,166842.0,806.127,131056.0,776.176,94469.3,734.155
318,356579.0,862.547,-3.23832,-4.10063,-0.854022,-0.594876,-0.0092685,13580.0,168113.0,816.565,133855.0,769.076,94946.8,731.962
321,377185.0,873.345,-3.53588,-4.39526,-0.822221,-0.633953,-0.00974331,14333.1,169185.0,827.178,136393.0,764.871,95773.3,730.887
324,398689.0,884.079,-3.84889,-4.70363,-0.787254,-0.675002,-0.0102361,14673.8,168675.0,838.858,138418.0,763.223,97150.3,732.01
