Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
297,237123.0,785.226,-2.1402,-2.40787,-0.959882,-0.789773,-0.0129432,6172.48,149101.0,745.059,118390.0,783.343,97162.8,731.204
300,249871.0,794.773,-2.3318,-2.58465,-0.949521,-0.837555,-0.0135569,7120.49,152567.0,753.134,119767.0,785.373,96251.5,732.001
303,263590.0,804.524,-2.53905,-2.77531,-0.93655,-0.886959,-0.0141758,8052.77,156268.0,761.729,120944.0,786.234,95253.2,732.394
306,278295.0,814.379,-2.76165,-2.9796,-0.92055,-0.942756,-0.0148758,9020.26,159604.0,770.513,122132.0,785.663,94317.5,732.582
309,294082.0,824.495,-3.00277,-3.20008,-0.901863,-1.00304,-0.0156229,9955.96,161753.0,780.054,123603.0,783.452,93803.0,732.821
312,310977.0,834.836,-3.26301,-3.43718,-0.880311,-1.06797,-0.0164178,10815.0,163186.0,790.008,125578.0,779.348,93904.6,732.746
315,328979.0,845.349,-3.54249,-3.69095,-0.855733,-1.13759,-0.0172599,11751.8,163955.0,800.429,128049.0,771.889,94285.3,730.89
318,348047.0,855.967,-3.84071,-3.96085,-0.828008,-1.21182,-0.0181467,12749.4,165091.0,810.677,130748.0,764.318,94786.5,728.688
321,368103.0,866.606,-4.15641,-4.2457,-0.797098,-1.29036,-0.0190742,13485.8,166017.0,821.086,133196.0,759.515,95628.3,727.667
324,389026.0,877.174,-4.48766,-4.54372,-0.763111,-1.3728,-0.0200366,13797.9,165400.0,832.548,135158.0,757.51,97014.5,728.616
327,410648.0,887.57,-4.8316,-4.85235,-0.726318,-1.45847,-0.021026,13710.1,163975.0,844.41,136580.0,757.186,98838.9,730.821
330,432715.0,897.663,-5.18389,-5.16773,-0.687117,-1.54638,-0.022031,13302.0,162814.0,855.818,137744.0,758.141,101007.0,733.596
333,454788.0,907.106,-5.53472,-5.48153,-0.645778,-1.63094,-0.0229782,12659.4,161383.0,866.835,138770.0,759.592,103466.0,736.346
336,476524.0,915.883,-5.87947,-5.78953,-0.603413,-1.71828,-0.0239608,11834.5,157948.0,878.316,139361.0,760.717,106084.0,738.537
339,497507.0,923.921,-6.21172,-6.08602,-0.561222,-1.80287,-0.0249068,10982.0,152750.0,889.984,139475.0,761.651,108558.0,739.671
342,517196.0,931.056,-6.52211,-6.36286,-0.520415,-1.88243,-0.0257932,10102.7,147139.0,900.805,139304.0,762.753,110767.0,738.984
345,534973.0,937.106,-6.79991,-6.61071,-0.482302,-1.9543,-0.0265934,9207.62,142112.0,909.939,139031.0,764.283,112806.0,737.709
348,550214.0,941.906,-7.0344,-6.82026,-0.448272,-2.01581,-0.0272813,8291.05,135443.0,918.63,138114.0,765.417,114288.0,736.818
351,562373.0,945.324,-7.2162,-6.98339,-0.419716,-2.06459,-0.0278337,7498.13,125966.0,927.566,136003.0,765.24,114494.0,735.114
354,570913.0,947.233,-7.33625,-7.09223,-0.3978,-2.09834,-0.0282279,6690.0,118018.0,933.898,133122.0,764.255,113998.0,733.029
357,576483.0,949.241,-7.42786,-7.17306,-0.384937,-2.12256,-0.0284726,5814.24,110641.0,939.852,130058.0,763.098,113244.0,731.043
360,579428.0,952.179,-7.50864,-7.23979,-0.382383,-2.13526,-0.0285562,4968.01,102502.0,946.759,126478.0,761.539,111849.0,728.971
