Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
159,91145.5,616.104,-0.404209,-0.461726,-0.80835,0.177565,0.00366403,923.54,106714.0,913.817,103288.0,740.975,97971.8,713.506
162,90781.8,614.928,-0.396152,-0.45508,-0.808029,0.18037,0.00373373,1456.21,108888.0,913.379,105872.0,748.401,98974.6,716.688
165,90515.6,613.924,-0.389444,-0.449597,-0.807978,0.182274,0.00378415,2131.55,110326.0,908.553,108184.0,755.625,99472.9,720.253
168,90344.3,613.093,-0.38408,-0.445267,-0.808213,0.183362,0.00381676,2893.82,111370.0,899.191,110293.0,762.194,99600.3,723.888
171,90263.9,612.438,-0.380036,-0.44207,-0.808727,0.183705,0.00383282,3702.06,112223.0,885.773,112089.0,767.507,99453.2,726.922
174,90271.7,611.96,-0.377309,-0.439996,-0.809521,0.18335,0.00383305,4511.21,112677.0,867.966,113428.0,770.619,98975.2,728.735
177,90366.3,611.66,-0.375891,-0.439039,-0.810596,0.182313,0.00381766,5296.86,112854.0,848.577,114337.0,772.11,98162.3,729.683
180,90546.6,611.537,-0.375781,-0.439198,-0.811949,0.180591,0.0037865,6114.93,113176.0,831.401,115111.0,772.73,97174.9,730.331
183,90811.1,611.591,-0.376972,-0.440463,-0.813566,0.178172,0.00373923,7034.51,113839.0,815.766,115982.0,772.174,96150.5,730.476
186,91158.7,611.822,-0.379467,-0.442836,-0.815434,0.175022,0.00367513,8117.57,114577.0,800.142,117092.0,769.878,95104.1,729.78
189,91590.2,612.229,-0.38328,-0.446328,-0.817549,0.171073,0.00359277,9286.16,115121.0,782.813,118615.0,765.269,94298.1,728.09
192,92107.5,612.813,-0.388428,-0.450955,-0.819908,0.166218,0.00349002,10359.2,115764.0,763.74,120710.0,757.802,94228.6,725.345
195,92713.3,613.571,-0.394921,-0.456727,-0.822502,0.160305,0.00336381,11375.2,117016.0,746.535,123118.0,745.734,94593.6,720.332
198,93407.8,614.5,-0.402771,-0.463654,-0.825301,0.153155,0.00321062,12276.2,118132.0,732.422,125397.0,735.586,95035.0,715.967
201,94192.9,615.603,-0.412016,-0.471767,-0.828294,0.144496,0.00302495,12885.4,118753.0,722.056,127253.0,728.911,95671.5,713.447
204,95075.0,616.878,-0.422706,-0.48111,-0.831488,0.133866,0.00279757,13075.3,119257.0,716.455,128756.0,725.726,96891.6,713.341
